,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,33,étaient,were
32,34,attention,Warning
33,35,voici,here is
34,36,pourrais,could
35,37,affaire,case
36,38,donner,give
37,39,type,type
38,40,leurs,their
39,41,donné,given
40,43,corps,body
41,44,endroit,place
42,46,façon,way
43,47,écoute,listen
44,48,dont,whose
45,49,trouve,find
46,50,premier,first
47,51,perdu,lost
48,52,main,hand
49,53,première,first
50,54,côté,side
51,55,pouvoir,power
52,56,vieux,old
53,57,sois,be
54,58,tiens,here
55,59,matin,morning
56,60,tellement,so much
57,61,enfant,child
58,62,point,point
59,63,venu,came
60,64,suite,after
61,66,venez,come
62,67,devant,in front of
63,68,vers,towards
64,69,minutes,minutes
65,70,demandé,request
66,71,chambre,bedroom
67,73,belle,beautiful
68,74,droit,law
69,75,aujourd'hui,today
70,76,mari,husband
71,77,cause,cause
72,78,enfin,finally
73,79,espère,hope
74,80,eau,water
75,81,attendez,Wait
76,82,parti,left
77,83,nouvelle,new
78,84,boulot,job
79,85,arrêter,Stop
80,86,dirait,would say
81,87,terre,Earth
82,88,compte,account
83,90,loin,far
84,91,fin,end
85,92,croire,believe
86,93,chérie,sweetheart
87,94,gros,large
88,95,plutôt,rather
89,96,aura,will have
90,97,filles,girls
91,98,jouer,to play
92,99,bureau,office
